Datum,Zeitzone,von,bis,Datenkategorie,Datentyp,Einheit,AEP-Schätzer,Status
03.01.2026,UTC,04:15,04:30,AEP-Schätzer,Betrieblich,EUR/MWh,22.51,0.0
03.01.2026,UTC,04:30,04:45,AEP-Schätzer,Betrieblich,EUR/MWh,96.17,0.0
03.01.2026,UTC,04:45,05:00,AEP-Schätzer,Betrieblich,EUR/MWh,116.75,0.0
03.01.2026,UTC,05:00,05:15,AEP-Schätzer,Betrieblich,EUR/MWh,65.1,0.0
03.01.2026,UTC,05:15,05:30,AEP-Schätzer,Betrieblich,EUR/MWh,55.26,0.0
03.01.2026,UTC,05:30,05:45,AEP-Schätzer,Betrieblich,EUR/MWh,52.48,0.0
03.01.2026,UTC,05:45,06:00,AEP-Schätzer,Betrieblich,EUR/MWh,44.4,0.0
03.01.2026,UTC,06:00,06:15,AEP-Schätzer,Betrieblich,EUR/MWh,48.09,1.0
03.01.2026,UTC,06:15,06:30,AEP-Schätzer,Betrieblich,EUR/MWh,63.34,1.0
03.01.2026,UTC,06:30,06:45,AEP-Schätzer,Betrieblich,EUR/MWh,91.89,0.0
03.01.2026,UTC,06:45,07:00,AEP-Schätzer,Betrieblich,EUR/MWh,95.8,1.0
03.01.2026,UTC,07:00,07:15,AEP-Schätzer,Betrieblich,EUR/MWh,46.17,0.0
03.01.2026,UTC,07:15,07:30,AEP-Schätzer,Betrieblich,EUR/MWh,62.65,0.0
03.01.2026,UTC,07:30,07:45,AEP-Schätzer,Betrieblich,EUR/MWh,62.96,0.0
03.01.2026,UTC,07:45,08:00,AEP-Schätzer,Betrieblich,EUR/MWh,83.28,1.0
03.01.2026,UTC,08:00,08:15,AEP-Schätzer,Betrieblich,EUR/MWh,60.25,0.0
03.01.2026,UTC,08:15,08:30,AEP-Schätzer,Betrieblich,EUR/MWh,78.68,0.0
03.01.2026,UTC,08:30,08:45,AEP-Schätzer,Betrieblich,EUR/MWh,86.29,1.0
03.01.2026,UTC,08:45,09:00,AEP-Schätzer,Betrieblich,EUR/MWh,68.57,0.0
03.01.2026,UTC,09:00,09:15,AEP-Schätzer,Betrieblich,EUR/MWh,69.57,1.0
03.01.2026,UTC,09:15,09:30,AEP-Schätzer,Betrieblich,EUR/MWh,70.7,0.0
03.01.2026,UTC,09:30,09:45,AEP-Schätzer,Betrieblich,EUR/MWh,95.41,0.0
03.01.2026,UTC,09:45,10:00,AEP-Schätzer,Betrieblich,EUR/MWh,108.83,0.0
03.01.2026,UTC,10:00,10:15,AEP-Schätzer,Betrieblich,EUR/MWh,73.37,0.0
03.01.2026,UTC,10:15,10:30,AEP-Schätzer,Betrieblich,EUR/MWh,64.97,1.0
03.01.2026,UTC,10:30,10:45,AEP-Schätzer,Betrieblich,EUR/MWh,67.38,1.0
03.01.2026,UTC,10:45,11:00,AEP-Schätzer,Betrieblich,EUR/MWh,55.83,0.0
03.01.2026,UTC,11:00,11:15,AEP-Schätzer,Betrieblich,EUR/MWh,46.83,0.0
03.01.2026,UTC,11:15,11:30,AEP-Schätzer,Betrieblich,EUR/MWh,54.12,0.0
03.01.2026,UTC,11:30,11:45,AEP-Schätzer,Betrieblich,EUR/MWh,58.91,0.0
03.01.2026,UTC,11:45,12:00,AEP-Schätzer,Betrieblich,EUR/MWh,96.2,0.0
03.01.2026,UTC,12:00,12:15,AEP-Schätzer,Betrieblich,EUR/MWh,93.26,0.0
03.01.2026,UTC,12:15,12:30,AEP-Schätzer,Betrieblich,EUR/MWh,70.89,0.0
03.01.2026,UTC,12:30,12:45,AEP-Schätzer,Betrieblich,EUR/MWh,65.53,0.0
03.01.2026,UTC,12:45,13:00,AEP-Schätzer,Betrieblich,EUR/MWh,69.8,0.0
03.01.2026,UTC,13:00,13:15,AEP-Schätzer,Betrieblich,EUR/MWh,72.79,0.0
03.01.2026,UTC,13:15,13:30,AEP-Schätzer,Betrieblich,EUR/MWh,71.46,0.0
03.01.2026,UTC,13:30,13:45,AEP-Schätzer,Betrieblich,EUR/MWh,78.85,0.0
03.01.2026,UTC,13:45,14:00,AEP-Schätzer,Betrieblich,EUR/MWh,112.95,0.0
03.01.2026,UTC,14:00,14:15,AEP-Schätzer,Betrieblich,EUR/MWh,137.71,0.0
03.01.2026,UTC,14:15,14:30,AEP-Schätzer,Betrieblich,EUR/MWh,138.51,0.0
03.01.2026,UTC,14:30,14:45,AEP-Schätzer,Betrieblich,EUR/MWh,125.76,0.0
03.01.2026,UTC,14:45,15:00,AEP-Schätzer,Betrieblich,EUR/MWh,137.57,0.0
03.01.2026,UTC,15:00,15:15,AEP-Schätzer,Betrieblich,EUR/MWh,124.6,0.0
03.01.2026,UTC,15:15,15:30,AEP-Schätzer,Betrieblich,EUR/MWh,75.9,0.0
03.01.2026,UTC,15:30,15:45,AEP-Schätzer,Betrieblich,EUR/MWh,113.12,0.0
03.01.2026,UTC,15:45,16:00,AEP-Schätzer,Betrieblich,EUR/MWh,108.82,1.0
03.01.2026,UTC,16:00,16:15,AEP-Schätzer,Betrieblich,EUR/MWh,56.89,0.0
03.01.2026,UTC,16:15,16:30,AEP-Schätzer,Betrieblich,EUR/MWh,74.24,0.0
03.01.2026,UTC,16:30,16:45,AEP-Schätzer,Betrieblich,EUR/MWh,65.7,0.0
03.01.2026,UTC,16:45,17:00,AEP-Schätzer,Betrieblich,EUR/MWh,77.09,0.0
03.01.2026,UTC,17:00,17:15,AEP-Schätzer,Betrieblich,EUR/MWh,62.2,0.0
03.01.2026,UTC,17:15,17:30,AEP-Schätzer,Betrieblich,EUR/MWh,113.4,0.0
03.01.2026,UTC,17:30,17:45,AEP-Schätzer,Betrieblich,EUR/MWh,74.14,0.0
